"entity_id","canonical_metabolite","KEGG_ID","Pathway"
"IK_OUYCCCASQSFEME-UHFFFAOYNA-N","Tyrosine","C00082","Phenylalanine, tyrosine and tryptophan biosynthesis"
"IK_KKADPXVIOXHVKN-UHFFFAOYSA-N","4-Hydroxyphenylpyruvic acid","C01179","Phenylalanine, tyrosine and tryptophan biosynthesis"
"IK_BTNMPGBKDVTSJY-UHFFFAOYSA-N","Phenylpyruvic Acid","C00166","Phenylalanine, tyrosine and tryptophan biosynthesis"
"IK_WBYWAXJHAXSJNI-VOTSOKGWSA-N","Cinnamic acid","C00166","Phenylalanine, tyrosine and tryptophan biosynthesis"
"IK_FERIUCNNQQJTOY-UHFFFAOYSA-N","Butyric acid","C00073","One carbon pool by folate"
"IK_FFEARJCKVFRZRR-BYPYZUCNSA-N","L-Methionine","C00073","One carbon pool by folate"
"IK_KVXSPXCUAWCXEI-UHFFFAOYSA-N","(2S)-2-Amino-6-[(3-formylpiperidin-1-yl)amino]hexanoic acid","C00073","One carbon pool by folate"
"IK_KYICBZWZQPCUMO-PSALXKTOSA-N","SM(d18:1/14:0)","C00073","One carbon pool by folate"
"IK_FFDGPVCHZBVARC-UHFFFAOYSA-N","N,N-dimethylglycine","C01026","One carbon pool by folate"
"IK_NIPLIJLVGZCKMP-UHFFFAOYSA-M","Neurine","C00114","One carbon pool by folate"
"IK_OEYIOHPDSNJKLS-UHFFFAOYSA-N","Choline","C00114","One carbon pool by folate"
"IK_FFEARJCKVFRZRR-UHFFFAOYNA-N","Methionine","C00019","One carbon pool by folate"
"IK_FFFHZYDWPBMWHY-VKHMYHEASA-N","Homocysteine","C00021","One carbon pool by folate"
"IK_ZJUKTBDSGOFHSH-WFMPWKQPSA-N","S-Adenosylhomocysteine","C00021","One carbon pool by folate"
"IK_BDKXLTOHYQEAIO-RSLHMRQOSA-N","L-Cystathionine - Isomer","C02291","One carbon pool by folate"
"IK_MTCFGRXMJLQNBG-REOHCLBHSA-N","L-Serine","C00065","One carbon pool by folate"
"IK_MTCFGRXMJLQNBG-UHFFFAOYNA-N","Serine","C00065","One carbon pool by folate"
"IK_MTCFGRXMJLQNBG-REOHCLBHSA-N","L-Serine","C00065","One carbon pool by folate"
"IK_MTCFGRXMJLQNBG-UHFFFAOYNA-N","Serine","C00065","One carbon pool by folate"
"IK_DHMQDGOQFOQNFH-UHFFFAOYSA-N","Glycine","C00037","One carbon pool by folate"
"IK_DHMQDGOQFOQNFH-UHFFFAOYSA-N","Glycine","C00037","One carbon pool by folate"
"IK_DDUHZTYCFQRHIY-UHFFFAOYSA-N","Gris-PEG","C00212","One carbon pool by folate"
"IK_SXKNCCSPZDCRFD-UHFFFAOYSA-N","Betaine aldehyde","C00576","One carbon pool by folate"
"IK_XKBJVQHMEXMFDZ-UHFFFAOYSA-N","LPC O-18:0","C00719","One carbon pool by folate"
"IK_NBIIXXVUZAFLBC-UHFFFAOYSA-K","Phosphate","C00002","One carbon pool by folate"
"IK_OIRDTQYFTABQOQ-KQYNXXCUSA-N","Adenosine","C00002","One carbon pool by folate"
"IK_LCTONWCANYUPML-UHFFFAOYSA-N","Pyruvic Acid","C00022","Citrate cycle (TCA cycle)"
