"entity_id","study_id"
"IK_FUOOLUPWFVMBKG-UHFFFAOYSA-N","S_28880465"
"IK_FVMDYYGIDFPZAX-UHFFFAOYSA-N","S_28880465"
"IK_FVSDTYGQCVACMH-UFEDUZHUSA-N","S_28880465"
"IK_GHOKWGTUZJEAQD-ZETCQYMHSA-N","S_28880465"
"IK_GKZIWHRNKRBEOH-UHFFFAOYSA-N","S_28880465"
"IK_GMSNIKWWOQHZGF-UHFFFAOYSA-N","S_28880465"
"IK_GUKOKXKMWGOHJJ-NSHDSACASA-N","S_28880465"
"IK_HNDVDQJCIGZPNO-YFKPBYRVSA-N","S_28880465"
"IK_HXEACLLIILLPRG-YFKPBYRVSA-N","S_28880465"
"IK_HXKKHQJGJAFBHI-UHFFFAOYSA-N","S_28880465"
"IK_HZAXFHJVJLSVMW-UHFFFAOYSA-N","S_28880465"
"IK_ISWSIDIOOBJBQZ-UHFFFAOYSA-N","S_28880465"
"IK_IWYDHOAUDWTVEP-UHFFFAOYSA-N","S_28880465"
"IK_JQXBETDGCMQLMK-UHFFFAOYSA-N","S_28880465"
"IK_JYFOSWJYZIVJPO-YGEZULPYSA-N","S_28880465"
"IK_KDXKERNSBIXSRK-YFKPBYRVSA-N","S_28880465"
"IK_KIDHWZJUCRJVML-UHFFFAOYSA-N","S_28880465"
"IK_KMAKOBLIOCQGJP-UHFFFAOYSA-N","S_28880465"
"IK_KRNYOVHEKOBTEF-YUMQZZPRSA-N","S_28880465"
"IK_KXSPLNAXPMVUEC-NCOIDOBVSA-N","S_28880465"
"IK_KZNQNBZMBZJQJO-RXMQYKEDSA-N","S_28880465"
"IK_KZSNJWFQEVHDMF-BYPYZUCNSA-N","S_28880465"
"IK_LEOVWDSHDAVANJ-UHFFFAOYSA-N","S_28880465"
"IK_LEVWYRKDKASIDU-IMJSIDKUSA-N","S_28880465"
"IK_LHQIJBMDNUYRAM-DZSWIPIPSA-N","S_28880465"
"IK_LOIYMIARKYCTBW-OWOJBTEDSA-N","S_28880465"
"IK_LRFVTYWOQMYALW-UHFFFAOYSA-N","S_28880465"
"IK_LYCVKHSJGDMDLM-LURJTMIESA-N","S_28880465"
"IK_MCMLHDBHZRLOED-SFYZADRCSA-N","S_28880465"
"IK_MTCFGRXMJLQNBG-REOHCLBHSA-N","S_28880465"
"IK_MWOOGOJBHIARFG-UHFFFAOYSA-N","S_28880465"
"IK_NMHMNPHRMNGLLB-UHFFFAOYSA-N","S_28880465"
"IK_ODKSFYDXXFIFQN-BYPYZUCNSA-N","S_28880465"
"IK_ONIBWKKTOPOVIA-BYPYZUCNSA-N","S_28880465"
"IK_OUYCCCASQSFEME-QMMMGPOBSA-N","S_28880465"
"IK_OYIFNHCXNCRBQI-UHFFFAOYSA-N","S_28880465"
"IK_PAFZNILMFXTMIY-UHFFFAOYSA-N","S_28880465"
"IK_PDNJLMZEGXHSCU-UHFFFAOYSA-N","S_28880465"
"IK_POQOTWQIYYNXAT-UHFFFAOYSA-N","S_28880465"
"IK_PQNASZJZHFPQLE-LURJTMIESA-N","S_28880465"
"IK_PRJJVJQUMHDYMQ-UHFFFAOYSA-N","S_28880465"
"IK_QCHPKSFMDHPSNR-UHFFFAOYSA-N","S_28880465"
"IK_QEFRNWWLZKMPFJ-YGVKFDHGSA-N","S_28880465"
"IK_QGNYWQOMJSTUQZ-BQBZGAKWSA-N","S_28880465"
"IK_QIVBCDIJIAJPQS-VIFPVBQESA-N","S_28880465"
"IK_QNAYBMKLOCPYGJ-REOHCLBHSA-N","S_28880465"
"IK_QNJHODONDIDAEE-UHFFFAOYSA-N","S_28880465"
"IK_QWCKQJZIFLGMSD-UHFFFAOYSA-N","S_28880465"
"IK_QZAYGJVTTNCVMB-UHFFFAOYSA-N","S_28880465"
"IK_RCFDOSNHHZGBOY-ACZMJKKPSA-N","S_28880465"
"IK_RGHMISIYKIHAJW-SSDOTTSWSA-N","S_28880465"
"IK_RHGKLRLOHDJJDR-BYPYZUCNSA-N","S_28880465"
"IK_ROHFNLRQFUQHCH-YFKPBYRVSA-N","S_28880465"
"IK_RPVCUZZJCXVVDW-WDSKDSINSA-N","S_28880465"
"IK_SGNZYJXNUURYCH-UHFFFAOYSA-N","S_28880465"
"IK_STKYPAFSDFAEPH-LURJTMIESA-N","S_28880465"
"IK_UGQMRVRMYYASKQ-KQYNXXCUSA-N","S_28880465"
"IK_UKAUYVFTDYCKQA-VKHMYHEASA-N","S_28880465"
"IK_VCKPUUFAIGNJHC-UHFFFAOYSA-N","S_28880465"
"IK_VHVGNTVUSQUXPS-YUMQZZPRSA-N","S_28880465"
"IK_WHUUTDBJXJRKMK-VKHMYHEASA-N","S_28880465"
"IK_WKOLLVMJNQIZCI-UHFFFAOYSA-N","S_28880465"
