PC1,PC2,entity_id,canonical_metabolite,study_id,matrix_clean,mode_clean,phase_clean
-0.363412333467919,-0.09771366429562346,IK_NYRDUZVMRXFKRA-KCHFORSBSA-N,"PE(20:0/18:4(6Z,9Z,12Z,15Z))",MTBLS11904,plasma,Positive,Reverse phase/C18
2.5820828761917323,0.11834814940223354,IK_NZKKXAGORRATJB-UHFFFAOYSA-N,2-Methoxyacetaminophen sulfate,MTBLS11904,plasma,Negative,Reverse phase/C18
4.589848065013137,0.2700677320665513,IK_NZKRYJGNYPYXJZ-UHFFFAOYSA-N,Dopamine 3-O-sulfate,MTBLS11904,plasma,Positive,Reverse phase/C18
9.501790725767979,-0.7769023837362558,IK_NZKRYJGNYPYXJZ-UHFFFAOYSA-N,Dopamine 3-O-sulfate,ST003159,serum,Negative,Reverse phase/C18
-0.05073616289729181,-0.07449734484196727,IK_NZNMSOFKMUBTKW-UHFFFAOYSA-N,Cyclohexanecarboxylic acid,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.17781263485952062,-0.0839328191165786,IK_NZNWCYFBFHHMLM-UHFFFAOYSA-N,(S)-alpha-Terpinyl glucoside,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.1913366904173562,-0.08479719265520587,IK_NZSAHCYFUVNLPX-UHFFFAOYSA-N,Stigmastentriol,MTBLS11904,plasma,Negative,Reverse phase/C18
0.12243696656888586,-0.061639176362442885,IK_NZUIUYWHFPQZBH-HXCATZOESA-N,Spirorenone,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.004077350808437474,-0.07103291070179484,IK_NZUPCNDJBJXXRF-UHFFFAOYSA-O,Bethanechol,MTBLS11904,plasma,Positive,Reverse phase/C18
0.5237993310933664,-0.032415449078973424,IK_NZXKDOXHBHYTKP-UHFFFAOYSA-N,Methohexital,MTBLS11904,plasma,Negative,Reverse phase/C18
0.1796583637409757,-0.05739046645896896,IK_OAKGNIRUXAZDQF-TXHRRWQRSA-N,Retaspimycin,MTBLS11904,plasma,Positive,Reverse phase/C18
0.4095499093215602,-0.04032093504336122,IK_OALYTRUKMRCXNH-UHFFFAOYSA-N,Dihydro-5-pentyl-2(3H)-furanone,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.07555473235409177,-0.07631648297155326,IK_OAORYCZPERQARS-VIFPVBQESA-N,6-Bromo-L-tryptophan,MTBLS11904,plasma,Negative,Reverse phase/C18
0.09813297682580739,-0.06359433650686207,IK_OAQGPAZDRCBBLD-YTCWWFNZSA-N,"17-phenyl-18,19,20-trinor-prostaglandin D2",MTBLS11904,plasma,Negative,Reverse phase/C18
-0.8290680855525242,-0.1315092596843117,IK_OBFSLMQLPNKVRW-RHPAUOISSA-N,Cer(d18:1/18:1(9Z)),MTBLS11904,plasma,Negative,Reverse phase/C18
0.9571175180782517,-6.760858002305831e-4,IK_OBHRVMZSZIDDEK-UHFFFAOYSA-N,Mesobilirubinogen,MTBLS11904,plasma,Negative,Reverse phase/C18
9.449368092777632e-4,1.7301980302000421,IK_OBMDBUWMBOPDST-JJDRJQAMSA-N,hydroxyproline dipeptide,38720721,serum,Not reported,Reverse phase/C18
-0.08435876984279052,-0.0769613542074179,IK_OBSIPTVJSOCDLZ-UHFFFAOYSA-N,Hydroxyprolyl-Valine,MTBLS11904,plasma,Negative,Reverse phase/C18
0.4138176679605541,-0.7566170991758054,IK_OBXDTEXUNVDKII-FNMRUBLUSA-N,TG 47:3,37755270,serum,Not reported,Reverse phase/C18
4.338053210575375,0.25137187165121977,IK_OBXKICUTIJDFHI-WMXQMYKUSA-N,"DG(20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R)/8:0/0:0)",MTBLS11904,plasma,Positive,Reverse phase/C18
-0.23145710328753644,-0.08773590197531957,IK_OCALSPDXYQHUHA-FNORWQNLSA-N,8-Methylnonenoate,MTBLS11904,plasma,Negative,Reverse phase/C18
-1.1015163408627553,-0.4606717780481825,IK_OCAPBUJLXMYKEJ-UHFFFAOYSA-N,Bifonazole,38720721,serum,Not reported,Reverse phase/C18
-0.11162765088074617,-0.07895872442201157,IK_OCEZPDBEDULORM-UHFFFAOYSA-N,Ile-Ile-Ile-Pro,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.02395986221215451,-0.0725091938877715,IK_OCKPCBLVNKHBMX-UHFFFAOYSA-N,Butylbenzene,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.19426152121236445,-0.0850114280019034,IK_ODAIHABQVKJNIY-PEDHHIEDSA-N,Perindoprilat,MTBLS11904,plasma,Negative,Reverse phase/C18
0.03665243150537699,-0.06809761739067491,IK_ODBLHEXUDAPZAU-UHFFFAOYSA-N,isocitric acid,MTBLS11904,plasma,Negative,Reverse phase/C18
