entity_id,canonical_metabolite,all_metabolite_names,InChIKey,formula,n_studies_with_log2fc,n_effect_observations,n_up,n_down,mean_log2fc,median_log2fc,max_abs_log2fc,min_p_value,studies,dominant_direction,consistency_score,discordant,recurrent
IK_JEJLGIQLPYYGEE-UHFFFAOYSA-N,DG 16:0_16:0,DG 16:0_16:0,JEJLGIQLPYYGEE-UHFFFAOYSA-N,C35H68O5,1,1,0,1,-0.556393349,-0.556393349,0.556393349,8.47e-6,37755270,Down in PD,1,FALSE,FALSE
IK_JTMOPWCKHAGCNW-UHFFFAOYSA-N,Cer-NP t40:0,Cer-NP t40:0,JTMOPWCKHAGCNW-UHFFFAOYSA-N,C40H81NO4,1,1,0,1,-0.556393349,-0.556393349,0.556393349,2.61e-10,37755270,Down in PD,1,FALSE,FALSE
IK_WKZLNEWVIAGNAW-UHFFFAOYSA-N,Tryptamine [+2H],Tryptamine [+2H],WKZLNEWVIAGNAW-UHFFFAOYSA-N,C5H4N4O2,1,1,0,1,-0.556393349,-0.556393349,0.556393349,0.00605,28880465,Down in PD,1,FALSE,FALSE
IK_XVZCREABAODILQ-UHFFFAOYSA-N,Cer 18:0;2O_20:0,Cer 18:0;2O_20:0,XVZCREABAODILQ-UHFFFAOYSA-N,C56H111NO5,1,1,0,1,-0.556393349,-0.556393349,0.556393349,4.16e-8,37755270,Down in PD,1,FALSE,FALSE
UNKNOWN_ROW__24167579__unknown_183,unknown_183,unknown_183,NA,NA,1,1,0,1,-0.556393349,-0.556393349,0.556393349,NA,24167579,Down in PD,1,FALSE,FALSE
UNKNOWN_ROW__24167579__unknown_82,unknown_82,unknown_82,NA,NA,1,1,0,1,-0.556393349,-0.556393349,0.556393349,NA,24167579,Down in PD,1,FALSE,FALSE
IK_UYWXWYBEHLAUEW-UHFFFAOYSA-N,Antibiotic GR 95647X,Antibiotic GR 95647X,UYWXWYBEHLAUEW-UHFFFAOYSA-N,C26H36O6,1,1,0,1,-0.555858228,-0.555858228,0.555858228,NA,ST003159,Down in PD,1,FALSE,FALSE
IK_WHPVYXDFIXRKLN-UHFFFAOYSA-N,PBDE 99,"PBDE 99 | 2,2',4,4',5-Pentabromodiphenyl ether (PBDE99)",WHPVYXDFIXRKLN-UHFFFAOYSA-N,C12H5Br5O,1,1,1,0,0.555816155,0.555816155,0.555816155,0.001105,24167579,Up in PD,1,FALSE,FALSE
IK_BIUULCNWWFDCPG-UHFFFAOYSA-N,Coixinden B,Coixinden B,BIUULCNWWFDCPG-UHFFFAOYSA-N,C13H14O4,1,1,1,0,0.555459597,0.555459597,0.555459597,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_BGSZAXLLHYERSY-XQIGCQGXSA-N,Vecuronium,Vecuronium,BGSZAXLLHYERSY-XQIGCQGXSA-N,C34H57N2O4+,1,1,1,0,0.555260281,0.555260281,0.555260281,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_JITCCUITUOPXAR-XSBOKVBDSA-N,Bolton-Hunter reagent,Bolton-Hunter reagent,JITCCUITUOPXAR-XSBOKVBDSA-N,C13H12INO5,1,1,1,0,0.555060965,0.555060965,0.555060965,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_QASOACWKTAXFSE-AATRIKPKSA-N,"(3S,5R,6R,7E)-3,5,6-Trihydroxy-7-megastigmen-9-one","(3S,5R,6R,7E)-3,5,6-Trihydroxy-7-megastigmen-9-one",QASOACWKTAXFSE-AATRIKPKSA-N,C13H22O4,1,1,1,0,0.553831852,0.553831852,0.553831852,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_XTFQIRIHLGODFV-UHFFFAOYSA-N,phenylalanine betaine,phenylalanine betaine,XTFQIRIHLGODFV-UHFFFAOYSA-N,C12H17NO2,1,1,0,1,-0.552156356,-0.552156356,0.552156356,0.0131,38720721,Down in PD,1,FALSE,FALSE
IK_ZBAYEKZBNZHVGF-ZAQYYTCTSA-N,"(7Z,9Z,12Z,15Z,18Z,21Z)-Tetracosa-7,9,12,15,18,21-hexaenoylcarnitine","(7Z,9Z,12Z,15Z,18Z,21Z)-Tetracosa-7,9,12,15,18,21-hexaenoylcarnitine",ZBAYEKZBNZHVGF-ZAQYYTCTSA-N,C31H49NO4,1,1,1,0,0.550111293,0.550111293,0.550111293,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_QEFNQQRVZDFDIJ-UHFFFAOYSA-N,"(1S,2S,4R,8R)-p-Menthane-1,2,8,9-tetrol","(1S,2S,4R,8R)-p-Menthane-1,2,8,9-tetrol",QEFNQQRVZDFDIJ-UHFFFAOYSA-N,C10H20O4,1,1,1,0,0.549911977,0.549911977,0.549911977,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_ZIMMPNSGYHHAIF-MNIDJLETSA-N,"PE-NMe(18:2(9Z,12Z)/20:2(11Z,14Z))","PE-NMe(18:2(9Z,12Z)/20:2(11Z,14Z))",ZIMMPNSGYHHAIF-MNIDJLETSA-N,C44H80NO8P,1,1,1,0,0.548616425,0.548616425,0.548616425,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_IOUPEELXVYPCPG-LURJTMIESA-N,Val-Gly,Val-Gly,IOUPEELXVYPCPG-LURJTMIESA-N,C7H14N2O3,1,1,1,0,0.547943311,0.547943311,0.547943311,0.00711,38720721,Up in PD,1,FALSE,FALSE
IK_KFEUJDWYNGMDBV-LODBTCKLSA-N,N-acetyl-lactosamine,N-acetyl-lactosamine,KFEUJDWYNGMDBV-LODBTCKLSA-N,C14H25NO11,1,1,1,0,0.547943311,0.547943311,0.547943311,NA,38720721,Up in PD,1,FALSE,FALSE
IK_PBLNHHSDYFYZNC-UHFFFAOYSA-N,1-Naphthylmethanol,1-Naphthylmethanol,PBLNHHSDYFYZNC-UHFFFAOYSA-N,C11H10O,1,1,1,0,0.547943311,0.547943311,0.547943311,NA,24167579,Up in PD,1,FALSE,FALSE
IK_YFMPSMITLLBENU-UHFFFAOYSA-N,"3,4-Dihydroxybenzylamine","3,4-Dihydroxybenzylamine",YFMPSMITLLBENU-UHFFFAOYSA-N,C7H9NO2,1,1,0,1,-0.54793177,-0.54793177,0.54793177,NA,24167579,Down in PD,1,FALSE,FALSE
