entity_id,canonical_metabolite,primary_pathway
IK_IHNKQIMGVNPMTC-UHFFFAOYSA-N,2-Lysophosphatidylcholine,Glycerophospholipid metabolism
IK_IJBIDDAZNYQSCP-VEHBBKSSSA-N,"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:0)",Glycerophospholipid metabolism
IK_IJLBJBCDNYOWPJ-MVMUGOIMSA-N,Cholesterol glucuronide,Ascorbate and aldarate metabolism
IK_IJPRFXKJWFQONJ-UHFFFAOYSA-N,Desmethyltetrahydropiperine sulfate,Linoleic acid metabolism
IK_IKXILDNPCZPPRV-RFMGOVQKSA-N,Drostanolone,Steroid hormone biosynthesis
IK_IORKBJYFXXCDMP-GMGFYYQASA-N,"PC(18:2(9Z,12Z)/14:0)",Linoleic acid metabolism
IK_IPCSVZSSVZVIGE-UHFFFAOYSA-N,Palmitic acid,Biosynthesis of unsaturated fatty acids
IK_IPMVHVDAYPUFKH-WYRBGLKBSA-N,PC(16:1(9Z)/16:0),Linoleic acid metabolism
IK_IPRPPFIAVHPVJH-UHFFFAOYSA-N,4-Hydroxyphenylacetaldehyde,Tyrosine metabolism
IK_ISAKRJDGNUQOIC-UHFFFAOYSA-N,Uracil,Pantothenate and CoA biosynthesis
IK_ISIJQGZVIFYXMD-QMUWONGRSA-M,Adenosyl cobinamide,Porphyrin metabolism
IK_ITZYGDKGRKKBSN-HKFUITGCSA-N,"3alpha,7alpha-Dihydroxycoprostanic acid",Primary bile acid biosynthesis
IK_IVYPNXXAYMYVSP-UHFFFAOYSA-N,Indole-3-carbinol,Glycerolipid metabolism
IK_IWYDHOAUDWTVEP-UHFFFAOYSA-N,p-Hydroxyphenylacetic acid [+C2H4],Arginine biosynthesis
IK_IXRPKRWXUJOOBZ-AVMVYAPKSA-N,Alpha-Santalyl acetate,Galactose metabolism
IK_IXYVBZOSGGJWCW-UHFFFAOYSA-N,Glycinexylidide,Drug metabolism - cytochrome P450
IK_JAVWFBAAZSHHAD-HCYAGMRRSA-N,"PC(16:0/20:4(8Z,11Z,14Z,17Z))",Linoleic acid metabolism
IK_JAXWMXMFLOWKCW-UHFFFAOYSA-N,4-Hydroxyhexanoycarnitine,Biosynthesis of unsaturated fatty acids
IK_JAZBEHYOTPTENJ-JLNKQSITSA-N,FFA 20:5,Biosynthesis of unsaturated fatty acids
IK_JAZBEHYOTPTENJ-RCHUDCCISA-N,Eicosapentaenoic Acid,Biosynthesis of unsaturated fatty acids
IK_JCCZCUUYYHWRGX-VGMNWLOBSA-N,Leucylhydroxyproline,Sphingolipid metabolism
IK_JCMUOFQHZLPHQP-BQBZGAKWSA-N,Ophthalmic acid,Cysteine and methionine metabolism
IK_JDHILDINMRGULE-UHFFFAOYNA-N,3-Methylhistidine,Histidine metabolism
IK_JDSRHVWSAMTSSN-IRQZEAMPSA-N,13(S)-HpODE,Linoleic acid metabolism
IK_JFCQEDHGNNZCLN-UHFFFAOYSA-N,Glutaric Acid,Arginine biosynthesis
IK_JHIWIFRQJXLNEU-GSQAGGHASA-N,"4alpha-carboxy-5alpha-cholesta-8,24-dien-3beta-ol",Steroid biosynthesis
IK_JHMWTEQGLBMSLG-DMHZMEFUSA-N,GPCho(20:3/20:3),Linoleic acid metabolism
IK_JHPNVNIEXXLNTR-UHFFFAOYSA-N,DEOXYCARNITINE,Lysine degradation
IK_JLIPBVWMWUWERT-HNQUOIGGSA-N,Hydroxydesmethylpiperine sulfate,Linoleic acid metabolism
IK_JOUIQRNQJGXQDC-ZYUZMQFOSA-N,Nicotinic acid mononucleotide,Nicotinate and nicotinamide metabolism
IK_JPIJQSOTBSSVTP-GBXIJSLDSA-N,isothreonic acid,Linoleic acid metabolism
IK_JQXBETDGCMQLMK-UHFFFAOYSA-N,"3,4-Dihydroxyphenylacetone","Valine, leucine and isoleucine biosynthesis"
IK_JRLGPAXAGHMNOL-LURJTMIESA-N,N2-Acetylornithine,Arginine biosynthesis
IK_JUAPMRSLDANLAS-HOTGVXAUSA-N,Phe Phe,"Phenylalanine, tyrosine and tryptophan biosynthesis"
IK_JVQYSWDUAOAHFM-UHFFFAOYSA-N,3-Methyl-2-Oxovaleric Acid,"Valine, leucine and isoleucine biosynthesis"
IK_JVTAAEKCZFNVCJ-UHFFFAOYSA-N,Lactic acid,Pyruvate metabolism
IK_JVTAAEKCZFNVCJ-UWTATZPHSA-N,D-Lactic acid,Pyruvate metabolism
IK_JXGLGTFMAQOJBB-HEDKFQSOSA-N,LysoPC(14:1(9Z)/0:0),Glycerophospholipid metabolism
IK_JYGXADMDTFJGBT-VWUMJDOOSA-N,Hydrocortisone,Steroid hormone biosynthesis
IK_KABXUUFDPUOJMW-BYPYZUCNSA-N,L-Glutamic gamma-semialdehyde,Arginine and proline metabolism
IK_KAKZBPTYRLMSJV-UHFFFAOYSA-N,"1,3-Butadiene",Steroid hormone biosynthesis
IK_KBUNOSOGGAARKZ-KRWDZBQOSA-N,3-Dehydrosphinganine,Sphingolipid metabolism
IK_KCUYLQDWSWOANO-JHXSWNAYSA-N,TG 46:1,Sphingolipid metabolism
IK_KDXKERNSBIXSRK-UHFFFAOYNA-N,Lysine,Lysine degradation
IK_KDXKERNSBIXSRK-YFKPBYRVSA-N,L-Lysine,Lysine degradation
IK_KDYFGRWQOYBRFD-UHFFFAOYSA-N,Succinic acid,"Alanine, aspartate and glutamate metabolism"
IK_KEECCEWTUVWFCV-UHFFFAOYSA-N,N-Acetylprocainamide,D-Amino acid metabolism
IK_KHLRCNXJXSYNCK-ZIEHFRHMSA-N,GPEtn(16:0/20:5),Glycerophospholipid metabolism
IK_KHPXUQMNIQBQEV-UHFFFAOYSA-N,Oxaloacetate,"Alanine, aspartate and glutamate metabolism"
IK_KIDHWZJUCRJVML-UHFFFAOYSA-N,"1,4-diaminobutane",Arginine and proline metabolism
